itemPrice,priceAfterCoupon,pointsPayerId,rewardsProductPartnerId,rewardsGroup,receiptid,targetPrice,needsFetchReviewReason,metabriteCampaignId,barcode,userFlaggedPrice,discountedItemPrice,userFlaggedBarcode,competitorRewardsGroup,originalReceiptItemText,originalFinalPrice,brandCode,quantityPurchased,itemNumber,userFlaggedDescription,pointsNotAwardedReason,description,userFlaggedNewItem,needsFetchReview,originalMetaBriteQuantityPurchased,pointsEarned,deleted,finalPrice,originalMetaBriteDescription,competitiveProduct,userFlaggedQuantity,preventTargetGapPoints,partnerItemId,originalMetaBriteItemPrice,originalMetaBriteBarcode
29,,5332f709e4b03c9a25efd0f1,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5ff1e1b60a7214ada100055c,77,,,034100573065,,,,,,,,1,,,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,,29,,,,,1,,
29,,5332f709e4b03c9a25efd0f1,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5ff1e1b60a7214ada100055c,77,,,034100573065,,,,,,,,1,,,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,,29,,,,,2,,
29,,5332f709e4b03c9a25efd0f1,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5ff1e1b60a7214ada100055c,77,,,034100573065,,,,,,,,1,,,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,,29,,,,,3,,
29,,5332f709e4b03c9a25efd0f1,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5ff1e1b60a7214ada100055c,77,,,034100573065,,,,,,,,1,,,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,,29,,,,,4,,
29,,5332f709e4b03c9a25efd0f1,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5ff1e1b60a7214ada100055c,77,,,034100573065,,,,,,,,1,,,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,,29,,,,,5,,
29,,5332f709e4b03c9a25efd0f1,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5ff1e1b60a7214ada100055c,77,,,034100573065,,,,,,,,1,,,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,,29,,,,,6,,
29,,5332f709e4b03c9a25efd0f1,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5ff1e1b60a7214ada100055c,77,,,034100573065,,,,,,,,1,,,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,,29,,,,,7,,
29,,5332f709e4b03c9a25efd0f1,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5ff1e1b60a7214ada100055c,77,,,034100573065,,,,,,,,1,,,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,,29,,,,,8,,
29,,5332f709e4b03c9a25efd0f1,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5ff1e1b60a7214ada100055c,77,,,034100573065,,,,,,,,1,,,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,,29,,,,,9,,
29,,5332f709e4b03c9a25efd0f1,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5ff1e1b60a7214ada100055c,77,,,034100573065,,,,,,,,1,,,,MILLER LITE 24 PACK 12OZ CAN,,,,870.0,,29,,,,,10,,
1,,,559c2234e4b06aca36af13c6,KRAFT NATURAL CHEESE - SHREDDED,5f9c74f70a7214ad07000037,,,,075925306254,,,,,,,,1,,,,,,,,,,1,,True,,,1,,
,,,,,5f9c74f70a7214ad07000037,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,2,,
,,,,,5f9c74f70a7214ad07000037,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,3,,
,,,,,5f9c74f70a7214ad07000037,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,4,,
,,,,,5f9c74f70a7214ad07000037,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,5,,
,,,,,5f9c74f70a7214ad07000037,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,6,,
,,,,,5f9c74f70a7214ad07000037,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,7,,
,,,,,5f9c74f70a7214ad07000037,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,8,,
,,,,,5f9c74f70a7214ad07000037,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,9,,
,,,,,5f9c74f70a7214ad07000037,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,10,,
,,,,,5f9c74f70a7214ad07000037,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,11,,
1,,,,,5ff1e1b20a7214ada100055a,,,,4011,,,,,,,,1,,,,ITEM NOT FOUND,,,,,,1,,,,,1,,
,,,,,5ff1e1e90a7214ada1000569,,USER_FLAGGED,,,25.00,,4011,,,,,,,,,,True,True,,,,,,,3,True,1,,
,,,,,5ff1e1e90a7214ada1000569,,USER_FLAGGED,,,27.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,3,True,2,,
1,,,,,5ff1e1df0a7214ada1000564,,,,4011,,,,,,,,1,,,,ITEM NOT FOUND,,False,,,,1,,,,,1,,
10.00,,5332f5fbe4b03c9a25efd0ba,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5ff1e1df0a7214ada1000564,800,,,028400642255,10.00,,028400642255,,,,,1,,,Action not allowed for user and CPG,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,True,False,,,,10.00,,,1,True,2,,
1,,,5e7cf838f221c312e698a628,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5ff1e1b40a7214ada100055b,,,,075925306254,,,,,,,,1,,,,,,,,,,1,,True,,,1,,
,,,,,5ff1e1b40a7214ada100055b,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,2,,
,,,,,5ff1e1b40a7214ada100055b,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,3,,
,,,,,5ff1e1b40a7214ada100055b,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,4,,
,,,,,5ff1e1b40a7214ada100055b,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,5,,
,,,,,5ff1e1b40a7214ada100055b,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,6,,
,,,,,5ff1e1b40a7214ada100055b,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,7,,
,,,,,5ff1e1b40a7214ada100055b,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,8,,
,,,,,5ff1e1b40a7214ada100055b,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,9,,
,,,,,5ff1e1b40a7214ada100055b,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,10,,
,,,,,5ff1e1b40a7214ada100055b,,USER_FLAGGED,,,29.00,,034100573065,,,,,,,MILLER LITE 24 PACK 12OZ CAN,,,True,True,,,,,,,1,True,11,,
26.00,,,,,5ff1e1eb0a720f0523000576,,,,4011,26.00,,4011,,,,,2,,,,ITEM NOT FOUND,True,False,,,,26.00,,,2,True,1,,
1,,,,,5ff1e1c80a720f052300056d,,,,4011,,,,,,,,1,,,,ITEM NOT FOUND,,,,,,1,,,,,1,,
,,,,,5ff1e1c80a720f052300056d,,USER_FLAGGED,,1234,,,1234,,,,,,,,,,True,True,,,,,,,,True,2,,
1,,,5e7cf838f221c312e698a628,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5f9c74f90a7214ad07000038,,,,075925306254,,,,,,,,1,,,,,,False,,,,1,,True,,,1,,
10.00,,,5e7cf838f221c312e698a628,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5f9c74f90a7214ad07000038,,,,075925306254,10.00,,075925306254,,,10.00,,2,,,,,True,False,2,,,10.00,,True,2,True,2,10.00,075925306254
1.00,,5332f709e4b03c9a25efd0f1,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5f9c74f90a7214ad07000038,77,,,034100573065,1.00,,034100573065,,,1.00,,1,,,,MILLER LITE 24 PACK 12OZ CAN,True,False,1,30.0,,1.00,MILLER LITE 24 PACK 12OZ CAN,,1,True,3,1.00,034100573065
1.00,,5332f709e4b03c9a25efd0f1,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5f9c74f90a7214ad07000038,77,,,034100573065,1.00,,034100573065,,,1.00,,1,,,,MILLER LITE 24 PACK 12OZ CAN,True,False,1,30.0,,1.00,MILLER LITE 24 PACK 12OZ CAN,,1,True,4,1.00,034100573065
1.00,,5332f709e4b03c9a25efd0f1,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5f9c74f90a7214ad07000038,77,,,034100573065,1.00,,034100573065,,,,,1,,,,MILLER LITE 24 PACK 12OZ CAN,True,False,,30.0,,1.00,,,1,True,5,,
1,,,,,5ff1e1960a720f0523000567,,,,4011,,,,,,,,1,,,,ITEM NOT FOUND,,,,,,1,,,,,1,,
21.00,,,,,5ff1e1ec0a7214ada100056c,,,,4011,21.00,,4011,,,,,2,,,,ITEM NOT FOUND,True,False,,,,21.00,,,2,True,1,,
1,,5332f5f6e4b03c9a25efd0b4,5332f5f6e4b03c9a25efd0b4,KNORR SIDES,5ff1e1d70a720f0523000571,800,,,041000168468,,,,,,,,1,,,,KNORR ASSORTED PASTA SIDE DISH POUCH IN CARDBORD BX 34.4 OZ,,,,10.0,,1,,,,,1,,
1,,5332f5f6e4b03c9a25efd0b4,5332f5f6e4b03c9a25efd0b4,NEXXUS HAIR CARE,5ff1e1d70a720f0523000571,800,,,2700719497082,,,,,,,,1,,,,NEXXUS REPLENISHING HAIR TREATMENT LIQUID RP 33.8 OZ,,,,10.0,,1,,,,,2,,
1,,,,,5ff1e1c60a7214ada100055e,,,,4011,,,,,,,,1,,,,ITEM NOT FOUND,,,,,,1,,,,,1,,
,,,,,5ff1e1c60a7214ada100055e,,USER_FLAGGED,,1234,,,1234,,,,,,,,,,True,True,,,,,,,,True,2,,
27.00,,,,,5ff1e1ee0a7214ada1000570,,,,4011,27.00,,4011,,,,,5,,,,ITEM NOT FOUND,True,False,,,,27.00,,,5,True,1,,
1,,,,,5ff1e1cf0a720f0523000570,,,,4011,,,,,,,,1,,,,ITEM NOT FOUND,,,,,,1,,,,,1,,
,,,,,5ff1e1cf0a720f0523000570,,USER_FLAGGED,,1234,,,1234,,,,,,,,,,True,True,,,,,,,,True,2,,
1,,5332f5f6e4b03c9a25efd0b4,5332f5f6e4b03c9a25efd0b4,SUAVE HAIR CARE,5ff1e1e10a720f0523000572,800,,,079400066619,,,079400066619,,,,,1,,,,SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612,,False,,10.0,,1,,True,,True,1,,080878042197
1,,,,,5ff1e1d40a7214ada1000562,,,,,,,,,,,,1,,,,DELETED ITEM,,,,,True,1,,,,,1,,
2,,,,,5ff1e1d40a7214ada1000562,,,,051500720011,,,,,,,,2,,,,JIF CRMY PNT BTR JAR 40 OZ,,,,,,2,,,,,2,,
27.00,,,,,5ff1e1ee0a720f0523000578,,,,4011,27.00,,4011,,,,,4,,,,ITEM NOT FOUND,True,False,,,,27.00,,,4,True,1,,
1,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5ff371030a7214ada10005a5,800,,,087684001127,,,,,,,,1,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,,,,5.0,,1,,,,,1,,
1,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5ff371030a7214ada10005a5,800,,,087684001127,,,,,,,,1,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,,,,5.0,,1,,,,,2,,
1,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5ff371030a7214ada10005a5,800,,,087684001127,,,,,,,,1,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,,,,5.0,,1,,,,,3,,
1,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5ff371030a7214ada10005a5,800,,,087684001127,,,,,,,,1,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,,,,5.0,,1,,,,,4,,
1,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5ff371030a7214ada10005a5,800,,,087684001127,,,,,,,,1,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,,,,5.0,,1,,,,,5,,
1,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5ff371030a7214ada10005a5,800,,,087684001127,,,,,,,,1,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,,,,5.0,,1,,,,,6,,
1,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5ff371030a7214ada10005a5,800,,,087684001127,,,,,,,,1,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,,,,5.0,,1,,,,,7,,
1,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5ff371030a7214ada10005a5,800,,,087684001127,,,,,,,,1,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,,,,5.0,,1,,,,,8,,
1,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5ff371030a7214ada10005a5,800,,,087684001127,,,,,,,,1,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,,,,5.0,,1,,,,,9,,
1,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,5ff371030a7214ada10005a5,800,,,087684001127,,,,,,,,1,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,,,,5.0,,1,,,,,10,,
0.99,,,5e7cf838f221c312e698a628,SARGENTO STRING OR STICK CHEESE,5ff36dcc0a720f05230005b1,,,,071040063102,,,,,,,,1,,,,,,,,,,0.99,,True,,,1,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,5ff36c750a7214ada100058f,800,,,029000079236,,,,,,,,1,,,,PLANTERSe Cashew Halves & Pieces - 46 oz.,,,,50.0,,9.99,,,,,1,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,5ff36c750a7214ada100058f,800,,,029000079236,,,,,,,,1,,,,PLANTERSe Cashew Halves & Pieces - 46 oz.,,,,50.0,,9.99,,,,,2,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,5ff36c750a7214ada100058f,800,,,029000079236,,,,,,,,1,,,,PLANTERSe Cashew Halves & Pieces - 46 oz.,,,,50.0,,9.99,,,,,3,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,5ff36c750a7214ada100058f,800,,,029000079236,,,,,,,,1,,,,PLANTERSe Cashew Halves & Pieces - 46 oz.,,,,50.0,,9.99,,,,,4,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,5ff36c750a7214ada100058f,800,,,029000079236,,,,,,,,1,,,,PLANTERSe Cashew Halves & Pieces - 46 oz.,,,,50.0,,9.99,,,,,5,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,5ff36c750a7214ada100058f,800,,,029000079236,,,,,,,,1,,,,PLANTERSe Cashew Halves & Pieces - 46 oz.,,,,50.0,,9.99,,,,,6,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,5ff36c750a7214ada100058f,800,,,029000079236,,,,,,,,1,,,,PLANTERSe Cashew Halves & Pieces - 46 oz.,,,,50.0,,9.99,,,,,7,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,5ff36c750a7214ada100058f,800,,,029000079236,,,,,,,,1,,,,PLANTERSe Cashew Halves & Pieces - 46 oz.,,,,50.0,,9.99,,,,,8,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,5ff36c750a7214ada100058f,800,,,029000079236,,,,,,,,1,,,,PLANTERSe Cashew Halves & Pieces - 46 oz.,,,,50.0,,9.99,,,,,9,,
1,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,CLASSICO PESTO,5ff36d860a720f05230005a7,800,,,041129002292,,,,,,,,1,,,,CLASSICO Traditional Basil Pesto 14OZ 12pack,,,,5.0,,1,,,,,1,,
1,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,KOOL-AID BURSTS DRINK,5ff36d9f0a720f05230005ab,800,,,043000946060,,,,,,,,1,,,,K9 Crystal Chandelier with 4 Lights in Globe Shape,,,,5.0,,1,,,,,1,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,5ff36adb0a720f0523000590,800,,,044700009888,,,,,,,,1,,,,"OSCAR MAYER Cotto Salami, 12 oz",,,,50.0,,9.99,,,,,1,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,5ff36adb0a720f0523000590,800,,,044700009888,,,,,,,,1,,,,"OSCAR MAYER Cotto Salami, 12 oz",,,,50.0,,9.99,,,,,2,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,5ff36adb0a720f0523000590,800,,,044700009888,,,,,,,,1,,,,"OSCAR MAYER Cotto Salami, 12 oz",,,,50.0,,9.99,,,,,3,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,5ff36adb0a720f0523000590,800,,,044700009888,,,,,,,,1,,,,"OSCAR MAYER Cotto Salami, 12 oz",,,,50.0,,9.99,,,,,4,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,5ff36adb0a720f0523000590,800,,,044700009888,,,,,,,,1,,,,"OSCAR MAYER Cotto Salami, 12 oz",,,,50.0,,9.99,,,,,5,,
1,,,5e7cf838f221c312e698a628,SARGENTO STRING OR STICK CHEESE,5ff36da00a7214ada100059b,,,,021000012961,,,,,,,,1,,,,,,,,,,1,,True,,,1,,
9.99,,,559c2234e4b06aca36af13c6,,5ff36dc40a7214ada100059f,,,,021000678358,,,,,,,,1,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,,,,,,9.99,,,,,1,,
9.99,,,559c2234e4b06aca36af13c6,,5ff36dc40a7214ada100059f,,,,021000678358,,,,,,,,1,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,,,,,,9.99,,,,,2,,
9.99,,,559c2234e4b06aca36af13c6,,5ff36dc40a7214ada100059f,,,,021000678358,,,,,,,,1,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,,,,,,9.99,,,,,3,,
9.99,,,559c2234e4b06aca36af13c6,,5ff36dc40a7214ada100059f,,,,021000678358,,,,,,,,1,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,,,,,,9.99,,,,,4,,
9.99,,,559c2234e4b06aca36af13c6,,5ff36dc40a7214ada100059f,,,,021000678358,,,,,,,,1,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,,,,,,9.99,,,,,5,,
9.99,,,559c2234e4b06aca36af13c6,,5ff36dc40a7214ada100059f,,,,021000678358,,,,,,,,1,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,,,,,,9.99,,,,,6,,
9.99,,,559c2234e4b06aca36af13c6,,5ff36dc40a7214ada100059f,,,,021000678358,,,,,,,,1,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,,,,,,9.99,,,,,7,,
9.99,,,559c2234e4b06aca36af13c6,,5ff36dc40a7214ada100059f,,,,021000678358,,,,,,,,1,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,,,,,,9.99,,,,,8,,
9.99,,,559c2234e4b06aca36af13c6,,5ff36dc40a7214ada100059f,,,,021000678358,,,,,,,,1,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,,,,,,9.99,,,,,9,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,5ff3710b0a7214ada10005a7,800,,,044700033302,,,,,,,,1,,,,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",,,,50.0,,9.99,,,,,1,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,5ff3710b0a7214ada10005a7,800,,,044700033302,,,,,,,,1,,,,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",,,,50.0,,9.99,,,,,2,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,5ff3710b0a7214ada10005a7,800,,,044700033302,,,,,,,,1,,,,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",,,,50.0,,9.99,,,,,3,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,5ff3710b0a7214ada10005a7,800,,,044700033302,,,,,,,,1,,,,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",,,,50.0,,9.99,,,,,4,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,5ff3710b0a7214ada10005a7,800,,,044700033302,,,,,,,,1,,,,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",,,,50.0,,9.99,,,,,5,,
9.99,,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,5ff3710b0a7214ada10005a7,800,,,044700033302,,,,,,,,1,,,,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",,,,50.0,,9.99,,,,,6,,
